model_number,product_name,filename,image_url,product_page_url
SMCO600NV-AC,SC5 Hardwire Smart Smoke and Carbon Monoxide Alarm,firstalert_SMCO600NV-AC.jpg,https://www.firstalert.com/cdn/shop/files/SMCO600NV-AC_SC5-AC-c3-6_1eb74bc2-e0ab-4f76-abfc-0bebb72af20f.jpg?v=1784601412,https://www.firstalert.com/products/sc5-hardwire-smart-smoke-carbon-monoxide-alarm?variant=51390590943506
SMCO600NV,SC5 Battery Smart Smoke and Carbon Monoxide Alarm,firstalert_SMCO600NV.jpg,https://www.firstalert.com/cdn/shop/files/SMCO600NV_SC5-c5-6.jpg?v=1784601403,https://www.firstalert.com/products/sc5-battery-smart-smoke-carbon-monoxide-alarm?variant=51390590910738
SMICO100-AC,Interconnect Hardwire 2-in 1 Smoke and Carbon Monoxide Alarm with Battery Backup,firstalert_SMICO100-AC.jpg,https://www.firstalert.com/cdn/shop/files/SMICO100-AC_c1-6_903839e8-70fc-4ac4-87a4-442f217f9464.jpg?v=1785551837,https://www.firstalert.com/products/interconnect-hardwire-2-in-1-smoke-carbon-monoxide-alarm-with-battery-backup?variant=51390591271186
SMI100-AC,Interconnect Hardwire Smoke Alarm with Battery Backup,firstalert_SMI100-AC.jpg,https://www.firstalert.com/cdn/shop/files/SMI100-AC_c12-6.jpg?v=1785551848,https://www.firstalert.com/products/interconnect-hardwire-smoke-alarm-with-battery-backup?variant=51390591009042
SMCO210,10-Year Battery 2-in 1 Smoke and Carbon Monoxide Alarm with Slim Profile Design,firstalert_SMCO210.jpg,https://www.firstalert.com/cdn/shop/files/SMCO210_c1-6_b681e29b-22e6-46cc-8cf3-08814924d4d4.jpg?v=1785551869,https://www.firstalert.com/products/10-year-battery-2-in-1-smoke-carbon-monoxide-alarm-with-slim-profile-design?variant=52529094000914
SMCO100V-AC,Interconnect Hardwire Combination Smoke and Carbon Monoxide Alarm with Voice Alerts,firstalert_SMCO100V-AC.jpg,https://www.firstalert.com/cdn/shop/files/SMCO100V-AC_c1-6_f0a9dc47-cc9d-4d1d-b031-ce2a6bdaaccd.jpg?v=1783738628,https://www.firstalert.com/products/interconnect-hardwire-2-in-1-smoke-co-alarm-with-battery-backup-voice-alerts?variant=51390590615826
SM210,10-Year Battery Smoke Alarm with Slim Profile Design,firstalert_SM210.jpg,https://www.firstalert.com/cdn/shop/files/SM210_c1-6_f090b536-1709-4c85-b349-8a85294e9da7.jpg?v=1785551767,https://www.firstalert.com/products/10-year-battery-smoke-alarm-with-slim-profile-design?variant=52529093771538
SMICO105-AC,Interconnect Hardwire 2-in 1 Smoke and CO Alarm with 10-Year Battery Backup,firstalert_SMICO105-AC.jpg,https://www.firstalert.com/cdn/shop/files/SMICO105-AC_c1-6.jpg?v=1785551815,https://www.firstalert.com/products/interconnect-hardwire-2-in-1-smoke-co-alarm-with-10-year-battery-backup?variant=51390591336722
SMI105-AC,Interconnect Hardwire Smoke Alarm with 10-Year Battery Backup,firstalert_SMI105-AC.jpg,https://www.firstalert.com/cdn/shop/files/SMI105-AC_c1-6_c948d67b-522c-4bfa-a0a6-fa05fa37b70a.jpg?v=1785551802,https://www.firstalert.com/products/interconnect-hardwire-smoke-alarm-with-10-year-battery-backup?variant=51390591140114
L1,L1 WiFi Water Leak and Freeze Detector,firstalert_L1.jpg,https://www.firstalert.com/cdn/shop/files/RWLD3001-c6-6_5dc825e3-b024-4067-aa58-70beb2861069.jpg?v=1783738415,https://www.firstalert.com/products/l1-wifi-water-leak-freeze-detector?variant=51390590124306
